start_ts,ttft_ms,itl_mean_ms,total_ms,n_output_tokens,ok
1781527860.5516706,217.86236763000488,10.122333254132952,359.5750331878662,19,True
1781527860.559868,220.41940689086914,10.364108615451388,406.97336196899414,23,True
1781527860.5588684,221.419095993042,10.428088051932198,440.40894508361816,26,True
1781527860.5613718,218.9157009124756,10.445429728581356,490.4968738555908,31,True
1781527860.559868,189.72134590148926,10.5724036693573,528.0382633209229,34,True
1781527860.559868,220.41940689086914,11.608622290871361,603.503942489624,38,True
1781527860.5568686,222.90754318237305,11.624119498512963,606.5034866333008,38,True
1781527860.5588684,190.7210350036621,11.493961016337076,604.5036315917969,38,True
1781527860.559868,220.41940689086914,11.486854818132189,633.9461803436279,41,True
1781527860.5556743,224.61318969726562,12.796472858738255,698.082685470581,42,True
1781527860.5578687,222.41878509521484,12.257273991902668,773.996114730835,50,True
1781527860.5568686,222.90754318237305,12.173530903268368,795.0634956359863,52,True
1781527860.559868,189.72134590148926,12.770218007704791,841.0024642944336,53,True
1781527860.5578687,191.72072410583496,12.73980327680999,841.4506912231445,53,True
1781527860.9218023,55.32193183898926,14.373394750779676,500.8971691131592,36,True
1781527860.5578687,222.41878509521484,13.332645771867139,1009.044885635376,64,True
1781527861.0983574,54.24690246582031,14.612566341053356,536.461591720581,35,True
1781527861.1760674,77.68964767456055,13.513022455675848,469.56729888916016,31,True
1781527861.2542725,56.87260627746582,15.634012222290039,447.7229118347168,30,True
1781527861.175554,105.24368286132812,14.992105549779433,540.0147438049316,34,True
1781527860.559868,220.41940689086914,13.502192497253418,1165.5728816986084,75,True
1781527861.0632935,89.31088447570801,15.150993298261595,680.1996231079102,44,True
1781527861.0090594,53.09796333312988,16.07966423034668,808.8421821594238,52,True
1781527860.977638,21.639347076416016,15.707605763485555,916.9728755950928,59,True
1781527861.252736,58.40897560119629,16.149215209178436,688.2283687591553,44,True
1781527861.1750367,105.76105117797852,15.439591624520043,785.1030826568604,49,True
1781527861.4112296,112.77318000793457,15.923239290714264,622.316837310791,37,True
1781527861.3993194,114.27474021911621,15.303341118065086,680.4983615875244,42,True
1781527861.435898,99.05529022216797,15.280562478142816,664.4361019134521,42,True
1781527861.4117506,76.1568546295166,15.12498160203298,802.1559715270996,50,True
1781527861.5775807,57.23834037780762,16.20891931894663,656.968355178833,42,True
1781527861.6554978,134.06991958618164,14.669541156653201,618.1647777557373,38,True
1781527861.789057,95.08323669433594,13.911511216844831,484.6055507659912,33,True
1781527861.743998,94.42448616027832,15.691444277763367,596.550703048706,37,True
1781527861.342907,56.412458419799805,15.517246338628953,1018.4817314147949,64,True
1781527862.044519,55.81521987915039,15.356147990507237,316.86973571777344,22,True
1781527861.6456347,98.36339950561523,15.830529041779346,715.7540321350098,44,True
1781527861.7160833,101.31478309631348,15.465303908946902,766.3228511810303,48,True
1781527861.9049478,55.191993713378906,15.484850747244698,597.1617698669434,40,True
1781527861.7259731,64.10503387451172,15.149603498742936,776.1363983154297,49,True
1781527862.224741,60.24789810180664,17.889738082885742,364.37344551086426,22,True
1781527861.9776099,55.936574935913086,15.121146252280786,630.540132522583,40,True
1781527862.2849889,97.1062183380127,17.169854220222025,388.9937400817871,22,True
1781527862.2482798,91.76468849182129,16.108686273748226,446.1557865142822,27,True
1781527861.9514349,92.56720542907715,15.511107999224995,759.544849395752,48,True
1781527861.8277385,56.401729583740234,15.756670917783465,938.7753009796143,58,True
1781527862.118296,55.74512481689453,16.02647755597089,648.7247943878174,39,True
1781527862.3831215,99.28464889526367,17.72180725546444,400.5553722381592,22,True
1781527862.2849889,55.55987358093262,16.747495707343607,624.9747276306152,36,True
1781527862.3831215,99.28464889526367,17.12240219116211,527.3447036743164,30,True
1781527862.09012,93.24002265930176,15.890451187783098,840.0912284851074,52,True
1781527862.3504531,100.55804252624512,16.85404055046313,656.7413806915283,38,True
1781527862.5507379,100.82721710205078,15.27943282291807,543.9307689666748,34,True
1781527862.3815818,69.93222236633301,15.404107958771462,732.3088645935059,45,True
1781527862.6849227,98.25015068054199,15.157622950417656,522.6635932922363,33,True
1781527862.7842116,104.89583015441895,14.476310123096813,423.3746528625488,27,True
1781527862.5491638,104.02369499206543,15.263853846369562,668.7862873077393,42,True
1781527862.7929618,96.7109203338623,15.074458615533237,533.8702201843262,34,True
1781527862.4937963,56.426048278808594,15.78439712524414,845.6459045410156,52,True
1781527862.5998907,52.26278305053711,15.470960405137804,748.4560012817383,47,True
1781527862.6521535,58.32219123840332,16.655650249747342,774.5151519775391,48,True
1781527862.7214036,136.9311809539795,15.227317810058594,715.569257736206,43,True
1781527862.9794922,63.54236602783203,16.795294625418528,533.8106155395508,33,True
1781527862.9202511,98.37460517883301,16.011714935302734,626.7611980438232,38,True
1781527862.711493,55.020809173583984,16.036109924316406,856.8263053894043,52,True
1781527862.7842116,74.12314414978027,15.328158934911093,809.8747730255127,50,True
1781527862.9217997,58.71176719665527,15.994361468723843,730.4749488830566,44,True
1781527863.0176,56.55980110168457,15.847871469896893,738.018274307251,48,True
1781527863.2293453,97.48673439025879,15.691237790243967,536.8413925170898,33,True
1781527863.2184658,98.6027717590332,15.50463972420528,548.2373237609863,34,True
1781527863.524792,59.236764907836914,15.605379553402171,324.5282173156738,22,True
1781527863.1045957,93.11342239379883,16.175299156002882,756.300687789917,46,True
1781527863.3382926,98.68025779724121,16.18322249381773,600.3601551055908,36,True
1781527863.4369729,96.75788879394531,14.707885682582855,567.4102306365967,37,True
1781527863.1650515,53.414344787597656,16.039128206214126,839.3316268920898,54,True
1781527863.347833,61.95402145385742,15.438016255696613,756.6647529602051,47,True
1781527863.666738,56.8845272064209,15.25533676147461,438.26794624328613,30,True
1781527863.3658133,97.3052978515625,15.520260447547548,749.1562366485596,47,True
1781527863.218982,98.08659553527832,15.442038482090211,916.5146350860596,58,True
1781527863.5853047,91.43495559692383,15.370509203742532,614.0322685241699,39,True
1781527863.447343,66.46394729614258,15.493672627669115,872.1349239349365,54,True
1781527863.642538,59.67879295349121,15.534604467996738,696.5975761413574,46,True
1781527863.9495268,54.856300354003906,16.161392132441204,442.7297115325928,29,True
1781527863.776321,94.48480606079102,15.639277065501494,626.2202262878418,39,True
1781527863.8708057,87.48674392700195,16.01913571357727,600.0990867614746,37,True
1781527864.0171332,87.87274360656738,16.391878542692766,464.885950088501,28,True
1781527864.1154842,113.40141296386719,15.761196613311768,365.58055877685547,21,True
1781527863.5589135,93.36113929748535,15.347966441401729,922.1513271331787,59,True
1781527864.1249166,103.96909713745117,15.534779604743509,368.0603504180908,22,True
1781527863.8603804,55.40347099304199,16.19809865951538,703.3274173736572,42,True
1781527863.7667031,54.91971969604492,17.28510856628418,850.0347137451172,48,True
1781527864.0166192,57.81745910644531,16.895732364139043,682.9595565795898,39,True
1781527863.776321,94.48480606079102,16.919084028764203,1025.0344276428223,60,True
1781527864.4820192,143.56136322021484,13.150277890657124,393.4166431427002,24,True
1781527864.1898403,99.79844093322754,15.28009390219664,695.7221031188965,44,True
1781527864.4132242,96.5278148651123,15.943746566772461,495.1214790344238,30,True
1781527864.1165092,72.82400131225586,16.272664070129395,853.9118766784668,50,True
1781527864.6260993,63.78936767578125,14.680680774507067,372.0836639404297,26,True
1781527864.2200284,58.66599082946777,15.641056973001232,778.1546115875244,48,True
1781527864.3570197,55.68671226501465,17.224693298339844,658.5509777069092,40,True
1781527864.616219,63.054800033569336,15.700734578646145,471.27389907836914,31,True
1781527864.3296645,62.5920295715332,17.231784215787563,769.0951824188232,46,True
1781527864.492977,150.3739356994629,15.319874412135073,732.5291633605957,43,True
1781527864.403566,55.07779121398926,16.258530616760254,868.004322052002,52,True
1781527864.4934947,149.8560905456543,14.843231023744096,788.1150245666504,48,True
1781527864.811818,53.46035957336426,17.088166304997035,531.9290161132812,33,True
1781527864.4934947,150.37083625793457,15.750812447589379,874.9082088470459,51,True
1781527865.0166068,140.69128036499023,14.813597997029621,362.89525032043457,20,True
1781527864.9614577,63.58003616333008,17.970947992234006,440.96994400024414,26,True
1781527864.5107684,106.50515556335449,16.343524822821983,956.3684463500977,54,True
1781527864.8958454,65.09518623352051,18.021082878112793,605.7276725769043,32,True
1781527864.886068,103.1191349029541,18.407162498025333,728.9626598358154,39,True
1781527865.0255504,132.25030899047852,16.377076506614685,656.3167572021484,37,True
1781527864.7119048,59.001922607421875,16.26715064048767,969.9623584747314,58,True
1781527865.1080956,96.51422500610352,16.855034334906215,585.3102207183838,34,True
1781527865.0160868,141.21127128601074,16.033312853644876,686.3439083099365,39,True
1781527865.558986,55.53412437438965,16.5773073832194,304.19373512268066,20,True
1781527865.2360697,56.105852127075195,19.193917512893677,670.3112125396729,37,True
1781527864.9891872,98.80971908569336,17.09778454838967,936.6011619567871,54,True
1781527865.0977283,58.571815490722656,16.606147090593975,855.6668758392334,50,True
1781527865.4029403,156.04567527770996,15.495573773103603,682.8951835632324,39,True
1781527865.2821243,61.62261962890625,17.654924165634885,803.1294345855713,44,True
1781527865.3689177,121.86622619628906,16.192398573222913,737.1773719787598,43,True
1781527865.693925,148.0581760406494,16.843243649131374,468.0798053741455,24,True
1781527865.3789816,123.10051918029785,17.199357350667317,793.8754558563232,44,True
1781527865.490784,68.20201873779297,16.08787178993225,711.716890335083,42,True
1781527865.2916663,162.94503211975098,17.162837982177734,1021.0869312286377,55,True
1781527865.4551613,112.15996742248535,16.301895709747964,878.3490657806396,52,True
1781527865.6248522,57.01494216918945,17.611980438232422,708.6582183837891,42,True
1781527865.873653,70.76072692871094,17.322729031244915,486.50622367858887,29,True
1781527865.6934059,71.4879035949707,17.74470429671438,745.7866668701172,40,True
1781527865.7024307,140.05470275878906,17.063147681100027,737.26487159729,40,True
1781527865.712659,108.46281051635742,17.3544069615806,819.9934959411621,43,True
1781527866.096527,105.97372055053711,17.308141874230426,504.0609836578369,28,True
1781527865.9173932,101.48048400878906,16.933270863124303,694.1449642181396,40,True
1781527866.0096598,65.34433364868164,18.14539292279412,682.2876930236816,39,True
1781527866.351775,108.43825340270996,16.993943382711972,397.3352909088135,22,True
1781527866.0970447,65.46425819396973,16.60577456156413,663.2721424102783,38,True
1781527866.452274,118.03436279296875,15.933124642623097,420.7637310028076,24,True
1781527865.9449265,109.59863662719727,16.76365852355957,947.7815628051758,55,True
1781527866.172857,111.6325855255127,16.00574819665206,719.851016998291,43,True
1781527866.1630464,103.67131233215332,15.89480260523354,755.3582191467285,46,True
1781527866.3236055,99.52211380004883,17.084201176961262,663.3007526397705,38,True
1781527866.256936,55.8171272277832,17.380813272987922,768.4304714202881,46,True
1781527866.621756,107.10358619689941,18.408428538929332,512.0890140533447,27,True
1781527866.701601,58.196306228637695,18.78289949326288,452.6371955871582,26,True
1781527866.5439913,56.59675598144531,18.72286375831155,693.1741237640381,39,True
1781527866.451761,118.54743957519531,17.8466282392803,796.7193126678467,43,True
1781527866.3512633,71.86436653137207,17.791332082545505,908.0569744110107,49,True
1781527866.1857505,71.18558883666992,17.276875178019203,1107.7980995178223,62,True
1781527866.3713803,99.75719451904297,18.264118830362953,921.642541885376,50,True
1781527866.6105094,101.65715217590332,18.37244549313107,781.4376354217529,42,True
1781527866.882797,104.74038124084473,19.717540740966797,597.6788997650146,30,True
1781527866.770293,102.22363471984863,19.611589370235322,710.1829051971436,36,True
1781527867.1449916,102.97083854675293,15.11077880859375,480.7403087615967,30,True
1781527867.0773323,67.14820861816406,16.87007239370635,623.8605976104736,38,True
1781527866.9099026,167.42968559265137,16.417384147644043,791.290283203125,43,True
1781527867.1716018,104.04133796691895,16.04953305474643,569.4777965545654,34,True
1781527867.343376,59.04269218444824,15.39367979223078,397.7036476135254,27,True
1781527867.2484803,104.83455657958984,16.109877619250067,572.0210075378418,34,True
1781527866.7603168,64.39328193664551,17.223192473589364,1080.561637878418,61,True
1781527867.3455935,56.82516098022461,16.285462038857595,512.8180980682373,33,True
1781527866.9304676,157.37128257751465,17.512608547599946,1015.4891014099121,54,True
1781527866.9104137,166.91851615905762,17.372488975524902,1035.5429649353027,55,True
1781527867.2766778,67.87490844726562,16.27063139891013,702.4295330047607,41,True
1781527867.0148416,62.49070167541504,17.806481432031703,1024.040699005127,56,True
1781527867.4941432,69.10443305969238,17.677445565500566,617.10524559021,36,True
1781527867.4029572,98.59895706176758,16.571421372263057,728.3129692077637,43,True
1781527867.2593203,112.95175552368164,17.109796404838562,934.2219829559326,53,True
1781527867.4931145,70.13320922851562,17.6473179379025,723.0839729309082,42,True
1781527867.7129629,107.53846168518066,18.129731927599227,615.170955657959,33,True
1781527867.8677335,111.3739013671875,18.369812714426143,460.4003429412842,24,True
1781527867.7129629,107.03253746032715,17.67638421827747,655.0004482269287,36,True
1781527868.0378351,63.21096420288086,18.253389157746966,410.02535820007324,24,True
1781527867.8312867,115.1735782623291,17.90715115410941,616.5738105773926,33,True
1781527867.9584255,121.39892578125,16.968945662180584,528.653621673584,29,True
1781527867.636088,65.10496139526367,17.84055966597337,992.8140640258789,54,True
1781527867.9584255,121.90127372741699,16.466856002807617,681.774377822876,39,True
1781527868.0481348,63.11368942260742,16.84950292110443,602.2977828979492,37,True
1781527867.7517865,68.71485710144043,17.290234565734863,898.6461162567139,50,True
1781527867.7522929,105.1030158996582,17.803861544682427,1030.9038162231445,57,True
1781527867.8584116,63.56930732727051,16.97867650252122,946.460485458374,54,True
1781527868.2334507,63.507795333862305,15.776830561020795,599.9200344085693,36,True
1781527868.3395545,108.3059310913086,17.092026196993313,552.6986122131348,31,True
1781527868.3395545,108.3059310913086,16.671328709043305,591.7744636535645,34,True
1781527868.2064288,101.37343406677246,16.677316866422956,735.1114749908447,43,True
1781527868.3788939,108.1852912902832,16.616574355534144,573.4493732452393,33,True
1781527868.1220946,61.419010162353516,17.51565933227539,919.6863174438477,51,True
1781527868.4972932,68.71771812438965,16.581281026204426,566.1561489105225,32,True
1781527868.458911,107.10000991821289,17.79452959696452,694.319486618042,38,True
1781527868.1840289,58.760881423950195,18.26637524824876,1008.6123943328857,57,True
1781527868.6412177,110.20660400390625,18.284390049595988,677.0226955413818,36,True
1781527868.6689653,71.90942764282227,17.55360996021944,668.7321662902832,36,True
1781527868.6509447,111.64236068725586,17.972201108932495,686.7527961730957,37,True
1781527869.0070043,118.21269989013672,16.729533672332764,452.803373336792,25,True
1781527868.8236535,107.67555236816406,18.276399181735133,674.2439270019531,36,True
1781527868.458911,106.36043548583984,17.14445894414728,1049.3056774139404,60,True
1781527868.9032993,103.20067405700684,17.07011858622233,615.3042316436768,35,True
1781527868.8932693,59.07392501831055,19.013200487409318,724.5359420776367,40,True
1781527868.6694787,102.92243957519531,18.03473134835561,968.5895442962646,53,True
1781527868.9523432,110.58878898620605,17.67314882839427,711.4758491516113,39,True
1781527868.794116,108.06536674499512,18.41084853462551,954.9643993377686,51,True
1781527869.1653342,60.49537658691406,17.819426953792572,630.7170391082764,37,True
1781527869.052613,112.20884323120117,17.52835948292802,830.87158203125,46,True
1781527868.9423952,65.63901901245117,17.711548805236816,951.216459274292,52,True
1781527869.357019,113.69180679321289,17.596622308095295,536.0107421875,29,True
1781527869.1262357,66.4055347442627,17.52426028251648,767.3759460449219,45,True
1781527869.471228,68.23348999023438,17.926920027959916,444.6988105773926,26,True
1781527869.3565066,114.20416831970215,17.12369001828707,559.420108795166,31,True
1781527869.2053573,91.73178672790527,18.273730610692226,877.5022029876709,45,True
1781527869.3294742,109.95125770568848,18.197622564103867,765.0656700134277,41,True
1781527869.5394614,98.60682487487793,17.93677806854248,636.7101669311523,35,True
1781527869.8936117,158.12063217163086,13.385200500488281,425.8246421813965,25,True
1781527869.654611,104.91371154785156,16.2560877047087,722.6450443267822,43,True
1781527869.8070116,66.43986701965332,15.070218788950067,639.1081809997559,40,True
1781527869.6284351,105.51738739013672,16.048297882080078,907.9322814941406,55,True
1781527869.9051955,158.31375122070312,13.81169046674456,641.7229175567627,40,True
1781527869.5186036,72.27373123168945,16.21289980613579,1028.8348197937012,61,True
1781527869.9057121,157.79709815979004,13.665070404877534,663.4047031402588,42,True
1781527869.9830115,99.84803199768066,15.167660183376737,645.8837985992432,41,True
1781527870.1040573,62.39962577819824,15.754103660583496,566.5309429168701,37,True
1781527869.9814656,101.3939380645752,14.837038226243926,709.7125053405762,46,True
1781527869.7595248,57.2962760925293,17.579667973068524,989.0186786651611,58,True
1781527870.329839,58.16006660461426,18.114504606827445,474.7936725616455,28,True
1781527869.9051955,158.31375122070312,15.440071622530619,899.4371891021729,53,True
1781527870.0940187,62.470436096191406,16.694990793863933,813.7450218200684,50,True
1781527869.508794,109.01117324829102,17.110055998751992,1409.3754291534424,81,True
1781527870.3885136,57.60622024536133,19.273805618286133,539.4513607025146,30,True
1781527869.7230887,62.57772445678711,17.680113656180247,1300.1856803894043,75,True
1781527870.1882713,70.2972412109375,16.3571320328058,904.5109748840332,53,True
1781527870.556698,114.67838287353516,18.888199770892108,624.6597766876221,32,True
1781527870.6389194,109.62414741516113,17.14709709430563,606.8899631500244,34,True
1781527870.6288953,62.28280067443848,18.513234456380207,617.6798343658447,35,True
1781527870.5474384,107.06043243408203,17.918500033291906,698.3709335327148,38,True
1781527870.5577176,113.65890502929688,17.300333295549667,719.1705703735352,40,True
1781527870.4571252,68.3591365814209,18.638166514309972,888.4384632110596,46,True
1781527870.6819205,112.37359046936035,18.07952696277249,672.8389263153076,36,True
1781527870.9186902,115.43416976928711,17.233698456375684,580.7440280914307,32,True
1781527870.816275,101.89461708068848,17.687229549183566,703.2604217529297,39,True
1781527871.2587183,172.27435111999512,13.4352445602417,440.9792423248291,25,True
1781527870.9284756,116.18757247924805,16.388434171676636,771.7249393463135,45,True
1781527871.193041,65.15622138977051,16.515791416168213,527.5983810424805,33,True
1781527870.8157613,72.12114334106445,16.328568552054612,904.8781394958496,53,True
1781527871.3726168,105.77845573425293,13.458013534545898,348.0226993560791,23,True
1781527871.0346386,58.678627014160156,17.42378870646159,790.4777526855469,47,True
1781527871.2581973,173.45666885375977,14.77525063923427,587.1636867523193,33,True
1781527870.7506688,64.57924842834473,17.450902421595686,1094.1824913024902,64,True
1781527870.9510012,111.79614067077637,16.935006627496684,1009.3514919281006,58,True
1781527871.5096927,105.92913627624512,15.266487995783487,472.3248481750488,29,True
1781527870.7604923,65.00983238220215,18.037831082063562,1291.5823459625244,73,True
1781527871.3552732,114.41802978515625,16.673603573360957,731.3413619995117,42,True
1781527871.104625,96.74715995788574,17.695366167554667,999.2108345031738,56,True
1781527871.3455637,113.6322021484375,17.21015087393827,853.6686897277832,48,True
1781527871.2571561,173.83646965026855,16.766223501651844,961.8489742279053,52,True
1781527871.711619,112.99467086791992,19.339102965134842,615.8113479614258,31,True
1781527871.7109158,113.69776725769043,18.334531784057617,663.733720779419,35,True
1781527871.9023204,58.03227424621582,18.861358815973453,472.98216819763184,27,True
1781527871.5368383,68.02558898925781,17.65512446967923,933.12668800354,51,True
1781527871.7402987,161.51142120361328,17.872933185461797,751.3182163238525,38,True
1781527871.9033518,57.00087547302246,18.942972709392677,606.3470840454102,34,True
1781527871.7418392,159.9709987640381,17.550318740135015,914.6347045898438,48,True
1781527872.1141396,104.35009002685547,16.95903142293294,562.2439384460449,32,True
1781527872.0428386,72.15237617492676,17.52750078837077,650.5599021911621,38,True
1781527871.970975,115.09323120117188,17.336729594639372,721.8787670135498,40,True
1781527871.8358285,65.98162651062012,17.291753380386915,999.7363090515137,56,True
1781527871.7418392,160.9976291656494,17.011332930180064,1130.643606185913,62,True
1781527872.338008,58.092594146728516,17.745472490787506,625.9477138519287,37,True
1781527872.0766325,112.1816635131836,16.51170253753662,937.7667903900146,55,True
1781527872.5096989,105.3009033203125,14.983137448628744,554.7950267791748,35,True
1781527872.3861337,105.4832935333252,15.614177051343416,698.822021484375,43,True
1781527872.1043546,105.40246963500977,16.217090465404368,981.1253547668457,59,True
1781527872.2102787,106.82511329650879,16.613163948059082,937.4833106994629,55,True
1781527872.7045221,110.5804443359375,18.465778102045476,535.2933406829834,28,True
1781527872.48223,111.85359954833984,16.307977112856776,829.4045925140381,49,True
1781527872.2370064,69.37241554260254,16.75426165262858,1074.6281147003174,62,True
1781527872.666442,117.5386905670166,16.396182956117574,658.6127281188965,38,True
1781527872.3861337,74.37300682067871,16.492051898308517,948.4517574310303,55,True
1781527872.7034862,111.61637306213379,17.46764054169526,757.9190731048584,42,True
1781527872.6933985,111.31024360656738,17.281488368385716,768.0068016052246,43,True
1781527872.520157,74.4321346282959,16.65827861199012,940.6626224517822,54,True
1781527873.1487942,113.64293098449707,17.7310307820638,432.8014850616455,23,True
1781527872.97561,59.70263481140137,18.000044473787632,797.7044582366943,46,True
1781527872.846595,106.32467269897461,16.86087131500244,949.3682384490967,55,True
1781527873.3345854,115.27156829833984,15.798040058301842,478.6264896392822,28,True
1781527872.8841097,102.35238075256348,17.09791105620715,940.1500225067139,54,True
1781527873.0762029,163.61260414123535,15.838472466719777,765.4745578765869,43,True
1781527873.324026,125.83088874816895,17.57371425628662,617.8948879241943,33,True
1781527873.1590765,120.9259033203125,17.405277804324502,782.3264598846436,43,True
1781527873.2526155,59.01908874511719,17.993382045200892,688.7874603271484,40,True
1781527873.0257394,59.21626091003418,18.848517666692317,926.2480735778809,51,True
1781527873.1487942,113.64293098449707,17.104329132452246,814.9204254150391,46,True
1781527873.4744403,118.16978454589844,20.39756377538045,607.7113151550293,29,True
1781527873.4739306,118.67952346801758,19.185337527044886,675.0543117523193,34,True
1781527873.3250546,86.37881278991699,17.97445939511669,967.1273231506348,51,True
1781527873.4734144,119.70973014831543,18.16816207690117,828.2680511474609,44,True
1781527873.3462095,115.19575119018555,17.485218228034256,1041.912317276001,58,True
1781527873.7849712,123.11220169067383,17.14422873088292,603.1506061553955,33,True
1781527873.9080834,63.83013725280762,17.554359436035156,502.6891231536865,30,True
1781527873.9540675,174.72147941589355,13.275146484375,466.77470207214355,27,True
1781527873.5931242,103.30557823181152,18.470635016759235,989.8960590362549,53,True
